asset_id,year,month,date,ndvi,ndmi,evi,ndvi_p25,ndvi_p75,ndvi_stdDev,data_source
pnsg_vuelo_libre_el_nevero,2021,1,2021-01-01,0.44535741936525963,0.10912801442246056,0.2221135706185364,0.40642035007476807,0.4834301173686981,0.053356964537841105,GEE:S2_SR_HARMONIZED
pnsg_vuelo_libre_la_nevera,2021,1,2021-01-01,0.4276362243683359,0.10572827495146399,0.24893155259464703,0.3817484327188627,0.47297295928001404,0.06361607479474189,GEE:S2_SR_HARMONIZED
pnsg_vuelo_libre_el_espartal,2021,1,2021-01-01,0.40415972502521513,0.09744994564021471,0.28005989114962426,0.377157062292099,0.49120137597385205,0.18693495968488602,GEE:S2_SR_HARMONIZED
pnsg_escalada_el_chorro,2021,1,2021-01-01,0.3865949936034077,0.19484801269585666,0.2681389191973852,0.24687820466417887,0.5671239132466523,0.2553559589959093,GEE:S2_SR_HARMONIZED
pnsg_escalada_la_barranca_y_maliciosa,2021,1,2021-01-01,0.2887072384717549,0.15783169229144664,0.19823586139257154,0.15038459848923968,0.4279042142751288,0.1978180068367072,GEE:S2_SR_HARMONIZED
pnsg_escalada_la_pedriza,2021,1,2021-01-01,0.4550560437658794,0.289693943130851,0.25232768768180175,0.23830106815343957,0.6600888940370889,0.2610468719222704,GEE:S2_SR_HARMONIZED
pnsg_escalada_maliciosa_porrones,2021,1,2021-01-01,0.22043130480272954,-0.11169029042741485,0.1393151707360785,0.12308241582534106,0.2786792814731598,0.12416168726302768,GEE:S2_SR_HARMONIZED
pnsg_escalada_penalara,2021,1,2021-01-01,0.15546348577404195,0.07030250800043983,0.06738923004566866,0.11045193632044825,0.22163714468479156,0.09711680927680334,GEE:S2_SR_HARMONIZED
pnsg_escalada_puerto_de_navacerrada,2021,1,2021-01-01,0.601478854944089,0.5324172979074511,0.36179137742137385,0.4492489600070321,0.7774255185417848,0.204430116535555,GEE:S2_SR_HARMONIZED
pnsg_escalada_valsain,2021,1,2021-01-01,0.7040093318572913,0.5879482718860409,0.40861570418818055,0.6366257197598085,0.816417945656666,0.15393609207846992,GEE:S2_SR_HARMONIZED
pnsg_ciclismo_las_zetas_de_la_pedriza,2021,1,2021-01-01,0.6645515329373263,0.524115137824258,0.35541970691200825,0.5118760641027502,0.8394036076250624,0.21103291861592977,GEE:S2_SR_HARMONIZED
pnsg_ciclismo_la_morcuera_gr_10_4_pr_m_12,2021,1,2021-01-01,0.6020034243737385,0.6021504800424207,0.40192658920024765,0.4101479998654612,0.8240785526605692,0.2514308292062161,GEE:S2_SR_HARMONIZED
pnsg_ciclismo_calderuelas_carro_del_diablo,2021,1,2021-01-01,0.6514798762166908,0.5540507004156143,0.3566903499469775,0.5101923403458458,0.8102787537814173,0.2044164495739162,GEE:S2_SR_HARMONIZED
pnsg_ciclismo_la_horizontal_san_mames_10_000,2021,1,2021-01-01,0.7077273938607953,0.599551512274264,0.3570051233615149,0.6148186919450911,0.8454138095490635,0.1882094654210567,GEE:S2_SR_HARMONIZED
pnsg_ciclismo_calderuelas_collado_vihuelas_ramal_circular,2021,1,2021-01-01,0.6279787417858994,0.5087127577083922,0.3437759711666215,0.47237830909198686,0.80925130834856,0.2081394459219298,GEE:S2_SR_HARMONIZED
pnsg_ciclismo_vivero_prado_redondillo,2021,1,2021-01-01,0.7312834534346627,0.6332193933858482,0.45626814943220906,0.6815552385990921,0.8221835483715523,0.1374163718048178,GEE:S2_SR_HARMONIZED
pnsg_reserva_umbria_de_siete_picos,2021,1,2021-01-01,0.4048428393650204,0.7024922910714206,0.48414022268365764,0.2596898393082446,0.5683955504878176,0.2060190393153813,GEE:S2_SR_HARMONIZED
pnsg_reserva_afloramientos_metamorficos_del_collado_de_la_flecha_y_cabecera_del_artinuelo,2021,1,2021-01-01,0.538064890291277,0.3368324544384479,0.3065881440684,0.44301051989985435,0.6581288509207122,0.1646108716709041,GEE:S2_SR_HARMONIZED
