asset_id,nombre,category,year,month,date,ndvi,ndmi,evi,ndvi_p25,ndvi_p75,ndvi_stdDev,data_source
pn_tablas_daimiel_senderismo_la_torre_de_prado_ancho_000,La Torre de Prado Ancho,senderismo,2021,1,2021-01-01,0.31249169665958443,-0.20397446164744443,0.16073437320062745,0.22857213528093856,0.3610678429096818,0.09821487265216702,GEE:S2_SR_HARMONIZED
pn_tablas_daimiel_senderismo_la_isla_del_pan_001,La Isla del Pan,senderismo,2021,1,2021-01-01,0.36283660075378793,-0.15704234163533315,0.1676292955905433,0.2678608344782007,0.45140134739343696,0.11144138759962238,GEE:S2_SR_HARMONIZED
pn_tablas_daimiel_senderismo_la_laguna_de_aclimatacion_002,La Laguna de Aclimatación,senderismo,2021,1,2021-01-01,0.3693514576893147,-0.15008321173373293,0.1797394485103048,0.3141253458634588,0.4226492797736648,0.11720678551153539,GEE:S2_SR_HARMONIZED
pn_tablas_daimiel_senderismo_la_laguna_permanente_003,La Laguna Permanente,senderismo,2021,1,2021-01-01,0.36538453614723215,-0.15433573629376784,0.17143744319670956,0.294911137128445,0.4319072764195299,0.10220504227435795,GEE:S2_SR_HARMONIZED
pn_tablas_daimiel_senderismo_molino_de_molemocho_004,Molino de Molemocho,senderismo,2021,1,2021-01-01,0.465294247534963,-0.05524920767935785,0.24207329266871128,0.3995799819628398,0.5533634185791015,0.13742202490801494,GEE:S2_SR_HARMONIZED
pn_tablas_daimiel_senderismo_la_torre_de_prado_ancho_000,La Torre de Prado Ancho,senderismo,2021,2,2021-02-01,0.26298045920255475,-0.11613696326729694,0.14446571591462506,0.2056993329853057,0.298824833984613,0.0803788858170275,GEE:S2_SR_HARMONIZED
pn_tablas_daimiel_senderismo_la_isla_del_pan_001,La Isla del Pan,senderismo,2021,2,2021-02-01,0.33657020695492385,-0.058301638691667344,0.1983508849338332,0.25203669248722566,0.42778666799052495,0.09971117130494649,GEE:S2_SR_HARMONIZED
pn_tablas_daimiel_senderismo_la_laguna_de_aclimatacion_002,La Laguna de Aclimatación,senderismo,2021,2,2021-02-01,0.3442877933154928,-0.05426265107937698,0.1853275806873559,0.2752160664820513,0.4159245037164027,0.11486296545645536,GEE:S2_SR_HARMONIZED
pn_tablas_daimiel_senderismo_la_laguna_permanente_003,La Laguna Permanente,senderismo,2021,2,2021-02-01,0.31941487722123735,-0.06626087583764315,0.18743396777358437,0.2680117580365567,0.3698142090162333,0.07955496377565992,GEE:S2_SR_HARMONIZED
pn_tablas_daimiel_senderismo_molino_de_molemocho_004,Molino de Molemocho,senderismo,2021,2,2021-02-01,0.4447811895694714,0.03932284608775088,0.31541014460389716,0.39164066314697266,0.52054650829984,0.10552342370664262,GEE:S2_SR_HARMONIZED
pn_tablas_daimiel_senderismo_la_torre_de_prado_ancho_000,La Torre de Prado Ancho,senderismo,2021,3,2021-03-01,0.32645310160646646,-0.14481442139340964,0.20928122106840746,0.23662715771216722,0.3888557910919189,0.11109025901763991,GEE:S2_SR_HARMONIZED
pn_tablas_daimiel_senderismo_la_isla_del_pan_001,La Isla del Pan,senderismo,2021,3,2021-03-01,0.38882390900232805,-0.08057283841050744,0.23598986363933713,0.25567294658618595,0.5091294376949723,0.14671033236958758,GEE:S2_SR_HARMONIZED
pn_tablas_daimiel_senderismo_la_laguna_de_aclimatacion_002,La Laguna de Aclimatación,senderismo,2021,3,2021-03-01,0.39841260938806966,-0.08876821495319669,0.24075652922491106,0.32944247061217796,0.47402840107679367,0.13120245126710878,GEE:S2_SR_HARMONIZED
pn_tablas_daimiel_senderismo_la_laguna_permanente_003,La Laguna Permanente,senderismo,2021,3,2021-03-01,0.38239925132192465,-0.0994428679194769,0.23036674789713005,0.2800316738273381,0.47521795842678755,0.13227169021073418,GEE:S2_SR_HARMONIZED
pn_tablas_daimiel_senderismo_molino_de_molemocho_004,Molino de Molemocho,senderismo,2021,3,2021-03-01,0.5336549708548535,0.07638122405765586,0.3647148528365547,0.48849037289619446,0.6268687989534522,0.15216964099854668,GEE:S2_SR_HARMONIZED
pn_tablas_daimiel_senderismo_la_torre_de_prado_ancho_000,La Torre de Prado Ancho,senderismo,2021,4,2021-04-01,0.32570629567922965,-0.09161581010418467,0.23436086182846053,0.23145317100301654,0.4031011591798989,0.1096994832026257,GEE:S2_SR_HARMONIZED
pn_tablas_daimiel_senderismo_la_isla_del_pan_001,La Isla del Pan,senderismo,2021,4,2021-04-01,0.38520267521190416,-0.034897866151989865,0.26969019540626227,0.2561474944040237,0.5173496251863371,0.14036679217795905,GEE:S2_SR_HARMONIZED
pn_tablas_daimiel_senderismo_la_laguna_de_aclimatacion_002,La Laguna de Aclimatación,senderismo,2021,4,2021-04-01,0.4012796830419387,-0.024439572293547998,0.2867328775125526,0.3368207385540009,0.47393296178131256,0.10721652066297625,GEE:S2_SR_HARMONIZED
pn_tablas_daimiel_senderismo_la_laguna_permanente_003,La Laguna Permanente,senderismo,2021,4,2021-04-01,0.3996828029178588,-0.007991771611124078,0.28768384774079825,0.2912375759020698,0.4945665998932193,0.125621107547451,GEE:S2_SR_HARMONIZED
pn_tablas_daimiel_senderismo_molino_de_molemocho_004,Molino de Molemocho,senderismo,2021,4,2021-04-01,0.47566233450195133,0.08065366766238292,0.3406432118563913,0.4265362714921962,0.5568673408325807,0.12030437941291029,GEE:S2_SR_HARMONIZED
