camera_id,camera_name,latitude,longitude,image_url,source_document
camara20308,,40.444579,-3.582891,https://informo.madrid.es/cameras/Camara20308.jpg?v=76738,https://informo.madrid.es/informo/tmadrid/CCTV.kml
camara01308,,40.419003,-3.712892,https://informo.madrid.es/cameras/Camara01308.jpg?v=76738,https://informo.madrid.es/informo/tmadrid/CCTV.kml
camara01309,,40.419013,-3.713224,https://informo.madrid.es/cameras/Camara01309.jpg?v=76738,https://informo.madrid.es/informo/tmadrid/CCTV.kml
camara01310,,40.416929,-3.713168,https://informo.madrid.es/cameras/Camara01310.jpg?v=76738,https://informo.madrid.es/informo/tmadrid/CCTV.kml
camara01311,,40.416938,-3.713397,https://informo.madrid.es/cameras/Camara01311.jpg?v=76738,https://informo.madrid.es/informo/tmadrid/CCTV.kml
camara08317,,40.476517,-3.720529,https://informo.madrid.es/cameras/Camara08317.jpg?v=76738,https://informo.madrid.es/informo/tmadrid/CCTV.kml
camara02308,,40.392426,-3.676727,https://informo.madrid.es/cameras/Camara02308.jpg?v=76738,https://informo.madrid.es/informo/tmadrid/CCTV.kml
camara09309,,40.426489,-3.734053,https://informo.madrid.es/cameras/Camara09309.jpg?v=76738,https://informo.madrid.es/informo/tmadrid/CCTV.kml
camara09310,,40.434649,-3.738908,https://informo.madrid.es/cameras/Camara09310.jpg?v=76738,https://informo.madrid.es/informo/tmadrid/CCTV.kml
camara10309,,40.362076,-3.753884,https://informo.madrid.es/cameras/Camara10309.jpg?v=76738,https://informo.madrid.es/informo/tmadrid/CCTV.kml
camara15302,,40.483869,-3.664217,https://informo.madrid.es/cameras/Camara15302.jpg?v=76738,https://informo.madrid.es/informo/tmadrid/CCTV.kml
camara15301,,40.483300,-3.663732,https://informo.madrid.es/cameras/Camara15301.jpg?v=76738,https://informo.madrid.es/informo/tmadrid/CCTV.kml
camara08309,,40.485774,-3.716744,https://informo.madrid.es/cameras/Camara08309.jpg?v=76738,https://informo.madrid.es/informo/tmadrid/CCTV.kml
camara17301,,40.351616,-3.692891,https://informo.madrid.es/cameras/Camara17301.jpg?v=76738,https://informo.madrid.es/informo/tmadrid/CCTV.kml
camara08313,,40.504773,-3.664879,https://informo.madrid.es/cameras/Camara08313.jpg?v=76738,https://informo.madrid.es/informo/tmadrid/CCTV.kml
camara16316,,40.494631,-3.649642,https://informo.madrid.es/cameras/Camara16316.jpg?v=76738,https://informo.madrid.es/informo/tmadrid/CCTV.kml
camara10307,,40.373056,-3.765567,https://informo.madrid.es/cameras/Camara10307.jpg?v=76738,https://informo.madrid.es/informo/tmadrid/CCTV.kml
camara13305,,40.403652,-3.665963,https://informo.madrid.es/cameras/Camara13305.jpg?v=76738,https://informo.madrid.es/informo/tmadrid/CCTV.kml
camara14303,,40.410705,-3.655159,https://informo.madrid.es/cameras/Camara14303.jpg?v=76738,https://informo.madrid.es/informo/tmadrid/CCTV.kml
camara18303,,40.368572,-3.609679,https://informo.madrid.es/cameras/Camara18303.jpg?v=76738,https://informo.madrid.es/informo/tmadrid/CCTV.kml
camara08316,,40.478911,-3.691119,https://informo.madrid.es/cameras/Camara08316.jpg?v=76738,https://informo.madrid.es/informo/tmadrid/CCTV.kml
camara08315,,40.474864,-3.689165,https://informo.madrid.es/cameras/Camara08315.jpg?v=76738,https://informo.madrid.es/informo/tmadrid/CCTV.kml
camara15321,,40.445148,-3.646417,https://informo.madrid.es/cameras/Camara15321.jpg?v=76738,https://informo.madrid.es/informo/tmadrid/CCTV.kml
camara01307,,40.410233,-3.714032,https://informo.madrid.es/cameras/Camara01307.jpg?v=76738,https://informo.madrid.es/informo/tmadrid/CCTV.kml
camara03313,,40.406758,-3.683647,https://informo.madrid.es/cameras/Camara03313.jpg?v=76738,https://informo.madrid.es/informo/tmadrid/CCTV.kml
camara11302,,40.385086,-3.717609,https://informo.madrid.es/cameras/Camara11302.jpg?v=76738,https://informo.madrid.es/informo/tmadrid/CCTV.kml
camara13301,,40.398450,-3.669665,https://informo.madrid.es/cameras/Camara13301.jpg?v=76738,https://informo.madrid.es/informo/tmadrid/CCTV.kml
camara07311,,40.430271,-3.711728,https://informo.madrid.es/cameras/Camara07311.jpg?v=76738,https://informo.madrid.es/informo/tmadrid/CCTV.kml
camara13304,,40.394392,-3.640135,https://informo.madrid.es/cameras/Camara13304.jpg?v=76738,https://informo.madrid.es/informo/tmadrid/CCTV.kml
camara18301,,40.383390,-3.625322,https://informo.madrid.es/cameras/Camara18301.jpg?v=76738,https://informo.madrid.es/informo/tmadrid/CCTV.kml
camara04304,,40.424523,-3.668711,https://informo.madrid.es/cameras/Camara04304.jpg?v=76738,https://informo.madrid.es/informo/tmadrid/CCTV.kml
camara02310,,40.400623,-3.714477,https://informo.madrid.es/cameras/Camara02310.jpg?v=76738,https://informo.madrid.es/informo/tmadrid/CCTV.kml
camara11310,,40.404121,-3.720596,https://informo.madrid.es/cameras/Camara11310.jpg?v=76738,https://informo.madrid.es/informo/tmadrid/CCTV.kml
camara01312,,40.413966,-3.720855,https://informo.madrid.es/cameras/Camara01312.jpg?v=76738,https://informo.madrid.es/informo/tmadrid/CCTV.kml
camara04309,,40.437940,-3.686227,https://informo.madrid.es/cameras/Camara04309.jpg?v=76738,https://informo.madrid.es/informo/tmadrid/CCTV.kml
camara15304,,40.449405,-3.651138,https://informo.madrid.es/cameras/Camara15304.jpg?v=76738,https://informo.madrid.es/informo/tmadrid/CCTV.kml
camara04311,,40.437754,-3.682954,https://informo.madrid.es/cameras/Camara04311.jpg?v=76738,https://informo.madrid.es/informo/tmadrid/CCTV.kml
camara07303,,40.430644,-3.689110,https://informo.madrid.es/cameras/Camara07303.jpg?v=76738,https://informo.madrid.es/informo/tmadrid/CCTV.kml
camara02305,,40.400928,-3.699232,https://informo.madrid.es/cameras/Camara02305.jpg?v=76738,https://informo.madrid.es/informo/tmadrid/CCTV.kml
camara09304,,40.437267,-3.721678,https://informo.madrid.es/cameras/Camara09304.jpg?v=76738,https://informo.madrid.es/informo/tmadrid/CCTV.kml
camara09305,,40.437266,-3.721720,https://informo.madrid.es/cameras/Camara09305.jpg?v=76738,https://informo.madrid.es/informo/tmadrid/CCTV.kml
camara10319,,40.414355,-3.729394,https://informo.madrid.es/cameras/Camara10319.jpg?v=76738,https://informo.madrid.es/informo/tmadrid/CCTV.kml
camara11309,,40.388408,-3.731787,https://informo.madrid.es/cameras/Camara11309.jpg?v=76738,https://informo.madrid.es/informo/tmadrid/CCTV.kml
camara05303,,40.458923,-3.667737,https://informo.madrid.es/cameras/Camara05303.jpg?v=76738,https://informo.madrid.es/informo/tmadrid/CCTV.kml
camara13302,,40.391638,-3.653807,https://informo.madrid.es/cameras/Camara13302.jpg?v=76738,https://informo.madrid.es/informo/tmadrid/CCTV.kml
camara08310,,40.482513,-3.717483,https://informo.madrid.es/cameras/Camara08310.jpg?v=76738,https://informo.madrid.es/informo/tmadrid/CCTV.kml
camara08311,,40.479401,-3.704193,https://informo.madrid.es/cameras/Camara08311.jpg?v=76738,https://informo.madrid.es/informo/tmadrid/CCTV.kml
camara08303,,40.480245,-3.713029,https://informo.madrid.es/cameras/Camara08303.jpg?v=76738,https://informo.madrid.es/informo/tmadrid/CCTV.kml
camara07315,,40.443861,-3.710415,https://informo.madrid.es/cameras/Camara07315.jpg?v=76738,https://informo.madrid.es/informo/tmadrid/CCTV.kml
camara06310,,40.457421,-3.701668,https://informo.madrid.es/cameras/Camara06310.jpg?v=76738,https://informo.madrid.es/informo/tmadrid/CCTV.kml
camara08312,,40.473840,-3.702207,https://informo.madrid.es/cameras/Camara08312.jpg?v=76738,https://informo.madrid.es/informo/tmadrid/CCTV.kml
camara15303,,40.455759,-3.656418,https://informo.madrid.es/cameras/Camara15303.jpg?v=76738,https://informo.madrid.es/informo/tmadrid/CCTV.kml
camara05307,,40.452248,-3.667559,https://informo.madrid.es/cameras/Camara05307.jpg?v=76738,https://informo.madrid.es/informo/tmadrid/CCTV.kml
camara09306,,40.428754,-3.721994,https://informo.madrid.es/cameras/Camara09306.jpg?v=76738,https://informo.madrid.es/informo/tmadrid/CCTV.kml
camara03302,,40.407690,-3.678681,https://informo.madrid.es/cameras/Camara03302.jpg?v=76738,https://informo.madrid.es/informo/tmadrid/CCTV.kml
camara12302,,40.375569,-3.695078,https://informo.madrid.es/cameras/Camara12302.jpg?v=76738,https://informo.madrid.es/informo/tmadrid/CCTV.kml
camara08318,,40.473071,-3.736048,https://informo.madrid.es/cameras/Camara08318.jpg?v=76738,https://informo.madrid.es/informo/tmadrid/CCTV.kml
camara16306,,40.494933,-3.666191,https://informo.madrid.es/cameras/Camara16306.jpg?v=76738,https://informo.madrid.es/informo/tmadrid/CCTV.kml
